date,ticker,p_raw,p_calibrated
2026-04-13,NASDAQ:ADI,0.0036236804,0.0036236804
2026-04-13,NASDAQ:ADP,0.0047849766,0.0047849766
2026-04-13,NASDAQ:ADSK,0.0047849766,0.0047849766
2026-04-13,NASDAQ:AEP,0.0034114718,0.0034114718
2026-04-13,NASDAQ:AMAT,0.0376622,0.0376622
2026-04-13,NASDAQ:AMD,0.08895821,0.08895821
2026-04-13,NASDAQ:AMGN,0.0040820907,0.0040820907
2026-04-13,NASDAQ:AMZN,0.004217027,0.004217027
2026-04-13,NASDAQ:ANSS,0.0040820907,0.0040820907
2026-04-13,NASDAQ:ASML,0.0073245917,0.0073245917
2026-04-13,NASDAQ:AVGO,0.038571578,0.038571578
2026-04-13,NASDAQ:AZN,0.014909277,0.014909277
2026-04-13,NASDAQ:BIIB,0.005227004,0.005227004
2026-04-13,NASDAQ:BKNG,0.022342095,0.022342095
2026-04-13,NASDAQ:BKR,0.0036236804,0.0036236804
2026-04-13,NASDAQ:CCEP,0.0036367555,0.0036367555
2026-04-13,NASDAQ:CDNS,0.005540606,0.005540606
2026-04-13,NASDAQ:CDW,0.0044888854,0.0044888854
2026-04-13,NASDAQ:CHTR,0.015035777,0.015035777
2026-04-13,NASDAQ:CMCSA,0.004217027,0.004217027
2026-04-13,NASDAQ:COST,0.0040820907,0.0040820907
2026-04-13,NASDAQ:CPRT,0.0055474355,0.0055474355
2026-04-13,NASDAQ:CRWD,0.06777953,0.06777953
2026-04-13,NASDAQ:CSCO,0.003757027,0.003757027
2026-04-13,NASDAQ:CSGP,0.02301802,0.02301802
2026-04-13,NASDAQ:CSX,0.0034114718,0.0034114718
2026-04-13,NASDAQ:CTAS,0.0045348313,0.0045348313
2026-04-13,NASDAQ:CTSH,0.004780435,0.004780435
2026-04-13,NASDAQ:DDOG,0.060710136,0.060710136
2026-04-13,NASDAQ:DXCM,0.017950308,0.017950308
2026-04-13,NASDAQ:EA,0.0040820907,0.0040820907
2026-04-13,NASDAQ:EXC,0.0040820907,0.0040820907
2026-04-13,NASDAQ:FANG,0.0037901176,0.0037901176
2026-04-13,NASDAQ:FAST,0.004217027,0.004217027
2026-04-13,NASDAQ:FTNT,0.01219982,0.01219982
2026-04-13,NASDAQ:GILD,0.0040820907,0.0040820907
2026-04-13,NASDAQ:GOOG,0.004217027,0.004217027
2026-04-13,NASDAQ:GOOGL,0.0034114718,0.0034114718
2026-04-13,NASDAQ:HON,0.0040820907,0.0040820907
2026-04-13,NASDAQ:IDXX,0.005606946,0.005606946
2026-04-13,NASDAQ:INTC,0.14753088,0.14753088
2026-04-13,NASDAQ:INTU,0.01787066,0.01787066
2026-04-13,NASDAQ:ISRG,0.0040820907,0.0040820907
2026-04-13,NASDAQ:KDP,0.003757027,0.003757027
2026-04-13,NASDAQ:KHC,0.0040403046,0.0040403046
2026-04-13,NASDAQ:KLAC,0.028719233,0.028719233
2026-04-13,NASDAQ:LIN,0.004217027,0.004217027
2026-04-13,NASDAQ:LRCX,0.038314946,0.038314946
2026-04-13,NASDAQ:LULU,0.040551245,0.040551245
2026-04-13,NASDAQ:MAR,0.0034114718,0.0034114718
2026-04-13,NASDAQ:MCHP,0.009803645,0.009803645
2026-04-13,NASDAQ:MDB,0.15160471,0.15160471
2026-04-13,NASDAQ:MDLZ,0.0040820907,0.0040820907
2026-04-13,NASDAQ:MELI,0.0116521595,0.0116521595
2026-04-13,NASDAQ:META,0.0044791196,0.0044791196
2026-04-13,NASDAQ:MNST,0.0040820907,0.0040820907
2026-04-13,NASDAQ:MRVL,0.18293077,0.18293077
2026-04-13,NASDAQ:MSFT,0.004217027,0.004217027
2026-04-13,NASDAQ:MSTR,0.20469168,0.20469168
2026-04-13,NASDAQ:MU,0.1844153,0.1844153
2026-04-13,NASDAQ:NFLX,0.0044791196,0.0044791196
2026-04-13,NASDAQ:NVDA,0.004684663,0.004684663
2026-04-13,NASDAQ:NXPI,0.00436912,0.00436912
2026-04-13,NASDAQ:ODFL,0.015972584,0.015972584
2026-04-13,NASDAQ:ON,0.04564445,0.04564445
2026-04-13,NASDAQ:ORLY,0.0040820907,0.0040820907
2026-04-13,NASDAQ:PANW,0.0071430528,0.0071430528
2026-04-13,NASDAQ:PAYX,0.0053701582,0.0053701582
2026-04-13,NASDAQ:PCAR,0.0034114718,0.0034114718
2026-04-13,NASDAQ:PDD,0.0045348313,0.0045348313
2026-04-13,NASDAQ:PEP,0.0040820907,0.0040820907
2026-04-13,NASDAQ:PYPL,0.011371365,0.011371365
2026-04-13,NASDAQ:QCOM,0.0045348313,0.0045348313
2026-04-13,NASDAQ:REGN,0.0043358332,0.0043358332
2026-04-13,NASDAQ:ROP,0.003999349,0.003999349
2026-04-13,NASDAQ:ROST,0.0034114718,0.0034114718
2026-04-13,NASDAQ:SBUX,0.0034114718,0.0034114718
2026-04-13,NASDAQ:SNPS,0.06909468,0.06909468
2026-04-13,NASDAQ:TEAM,0.16012341,0.16012341
2026-04-13,NASDAQ:TMUS,0.0045348313,0.0045348313
2026-04-13,NASDAQ:TSLA,0.027255781,0.027255781
2026-04-13,NASDAQ:TTD,0.21405998,0.21405998
2026-04-13,NASDAQ:TTWO,0.0045348313,0.0045348313
2026-04-13,NASDAQ:TXN,0.0037901176,0.0037901176
2026-04-13,NASDAQ:VRSK,0.005660746,0.005660746
2026-04-13,NASDAQ:VRTX,0.0045348313,0.0045348313
2026-04-13,NASDAQ:WBD,0.032853656,0.032853656
2026-04-13,NASDAQ:WDAY,0.02301802,0.02301802
2026-04-13,NASDAQ:XEL,0.0040820907,0.0040820907
2026-04-13,NASDAQ:ZS,0.040145792,0.040145792
2026-04-14,NASDAQ:AAPL,0.004217027,0.004217027
2026-04-14,NASDAQ:ADBE,0.0053701582,0.0053701582
2026-04-14,NASDAQ:ADI,0.0036236804,0.0036236804
2026-04-14,NASDAQ:ADP,0.0047849766,0.0047849766
2026-04-14,NASDAQ:ADSK,0.0047849766,0.0047849766
2026-04-14,NASDAQ:AEP,0.0034114718,0.0034114718
2026-04-14,NASDAQ:AMAT,0.024594668,0.024594668
2026-04-14,NASDAQ:AMD,0.059187315,0.059187315
2026-04-14,NASDAQ:AMGN,0.0040820907,0.0040820907
