,equity
2026-02-20,147542.76990005496
2026-02-23,146601.95996002198
2026-02-24,148813.5896801758
2026-02-25,149472.529960022
2026-02-26,146632.04970016482
2026-02-27,145809.52990005494
2026-03-02,145446.98982009888
2026-03-03,143237.37962020875
2026-03-04,145787.50005996705
2026-03-05,147695.86992004394
2026-03-06,145965.49958023074
2026-03-09,150056.17005996706
2026-03-10,149845.70966018678
2026-03-11,150098.05976013184
2026-03-12,147857.8398200989
2026-03-13,145266.65988006594
2026-03-16,145904.88460021972
2026-03-17,145158.735
2026-03-18,144505.70466018678
2026-03-19,145223.3048600769
2026-03-20,143567.84468017577
2026-03-23,145326.1846002197
2026-03-24,144720.83500000002
2026-03-25,145204.9548600769
2026-03-26,143439.19962020876
2026-03-27,142045.55496002198
2026-03-30,140737.26464019777
2026-03-31,143456.90496002196
2026-04-01,144544.9046601868
2026-04-02,145006.45496002198
2026-04-06,145041.45466018678
2026-04-07,148153.78480010986
2026-04-08,151360.72492004395
2026-04-09,152344.194980011
2026-04-10,154843.45496002198
2026-04-13,156399.2548600769
2026-04-14,156369.135
2026-04-15,158828.4651399231
2026-04-16,159080.9048600769
2026-04-17,160251.05486007693
2026-04-20,159249.1048600769
2026-04-21,159617.4048600769
2026-04-22,162587.0048600769
2026-04-23,162194.05486007693
2026-04-24,162602.9548600769
2026-04-27,161941.7548600769
2026-04-28,159278.1048600769
2026-04-29,160093.0048600769
2026-04-30,161830.1048600769
2026-05-01,161491.0948600769
2026-05-04,161491.0948600769
2026-05-05,161491.0948600769
2026-05-06,161491.0948600769
2026-05-07,161491.0948600769
2026-05-08,161491.0948600769
2026-05-11,161491.0948600769
2026-05-12,161491.0948600769
2026-05-13,161491.0948600769
2026-05-14,161491.0948600769
2026-05-15,161491.0948600769
2026-05-18,161491.0948600769
2026-05-19,161491.0948600769
2026-05-20,161491.0948600769
2026-05-21,161491.0948600769
2026-05-22,161491.0948600769
