ticker,date,pe,ps,p_fcf,earnings_yield,sales_yield,fcf_yield,eps_ttm,rev_ps_ttm,fcf_ps_ttm,market_cap,adj_close,shares,revenue_ttm,net_income_ttm,fcf_ttm,revenue_q,asof_fiscal_period_end,asof_filed_date
FUND:ACI,2026-07-02,35.56548298068078,0.09296264991433469,12.141859296482414,0.028117149443554628,10.757008335299204,0.08235970913365034,0.3972953216374269,151.99652777777777,1.1637426900584795,7731.9360000000015,14.13,547.2,83172.5,217.40000000000003,636.8000000000001,20252.2,2026-02-28,2026-04-27
FUND:ACM,2026-07-02,17.31079158740642,0.5476335765549409,21.332216246774355,0.05776743339267621,1.8260385097108374,0.04687745466443085,3.913165938019886,123.6958486478121,3.1754787789685452,8754.3789,67.74,129.235,15985.832999999999,505.718,410.383,3801.143,2026-03-31,2026-05-12
FUND:ACN,2026-07-02,10.734899545149785,1.1439332262885618,6.646341775069281,0.09315410878267766,0.8741768986328456,0.1504587085411472,12.654053795898397,118.74818670895434,20.438310417233193,83622.20520162964,135.83999633789062,615.5934,73100.6,7789.752,12581.688999999998,18718.14,2026-05-31,2026-06-18
FUND:ADBE,2026-07-02,12.091140829390518,3.4688013753339177,8.502612554052924,0.08270518176161275,0.28828401854047836,0.11761091001651391,17.98258706467662,62.681592039801,25.572139303482587,87406.85705566406,217.42999267578125,402.0,25198.0,7229.0,10280.0,6618.0,2026-05-31,2026-06-15
FUND:ADC,2026-07-02,44.188130397656245,12.487817978921266,,0.02263051165552459,0.08007804099066336,-0.11415849165790551,1.7608801119163684,6.230872369483517,-8.882672235901628,9366.425436000001,77.81,120.3756,750.0450000000001,211.967,-1069.257,200.807,2026-03-31,2026-04-21
FUND:ADI,2026-07-02,56.92893516040516,14.805909909961182,41.31959514879425,0.017565759787748735,0.06754059737505332,0.024201592401836034,6.755791321581053,25.976114162680595,9.307932585460936,188630.14979351807,384.6000061035156,490.458,12740.193,3313.4319,4565.15,3623.465,2026-04-30,2026-05-20
FUND:ADM,2026-07-02,34.479963953686905,0.46253401461748667,7.750642760227811,0.02900235050544683,2.1620031573829115,0.12902155742894894,2.2334710743801653,166.49586776859505,9.935950413223141,37272.84103393555,77.01000213623047,484.0,80584.0,1081.0,4809.0,20490.0,2026-03-31,2026-05-05
FUND:ADP,2026-07-02,22.315107412956042,4.489261788523437,18.289381226518387,0.04481269041167173,0.22275377269297322,0.05467653539585399,10.796273291925466,53.66583850931677,13.172670807453416,96970.29926300049,240.9199981689453,402.5,21600.5,4345.5,5302.0,5939.2,2026-03-31,2026-04-30
FUND:ADSK,2026-07-02,29.862583997391383,5.8197629396807775,16.009146349645874,0.03348672037514751,0.17182830475477262,0.062464292483785065,6.900943396226415,35.410377358490564,12.872641509433961,43688.960388183594,206.0800018310547,212.0,7507.0,1463.0,2729.0,1934.0,2026-04-30,2026-05-29
FUND:ADT,2026-07-02,9.593643849576734,1.1649037355692853,4.0042024789547,0.10423568100707839,0.8584400319665064,0.2497376207261753,0.7119297012783453,5.863145418331238,1.7057079495597773,5987.1916599999995,6.83,876.602,5139.645,624.0790000000001,1495.2269999999999,1278.529,2026-03-31,2026-04-30
