origin,end,strat_ret,idx_ret,excess
2024-06-26,2025-04-14,-0.0159,-0.0131,-0.0028
2024-07-03,2025-04-22,-0.0217,-0.045,0.0233
2024-07-11,2025-04-29,0.0077,-0.0042,0.012
2024-07-18,2025-05-06,0.0332,0.0112,0.0219
2024-07-25,2025-05-13,0.1138,0.0903,0.0235
2024-08-01,2025-05-20,0.1052,0.0907,0.0145
2024-08-08,2025-05-28,0.1142,0.107,0.0072
2024-08-15,2025-06-04,0.0796,0.0771,0.0025
2024-08-22,2025-06-11,0.0916,0.0811,0.0105
2024-08-29,2025-06-18,0.0907,0.0695,0.0212
2024-09-06,2025-06-26,0.1894,0.1355,0.0539
2024-09-13,2025-07-03,0.0917,0.1161,-0.0244
2024-09-20,2025-07-11,0.0437,0.0977,-0.0541
2024-09-27,2025-07-18,0.0298,0.0974,-0.0676
2024-10-04,2025-07-25,0.018,0.1109,-0.0928
2024-10-11,2025-08-01,-0.0371,0.0727,-0.1099
2024-10-18,2025-08-08,-0.0123,0.0895,-0.1018
2024-10-25,2025-08-15,0.0263,0.1105,-0.0842
2024-11-01,2025-08-22,0.0394,0.1288,-0.0894
2024-11-08,2025-08-29,-0.0187,0.0775,-0.0962
2024-11-15,2025-09-08,0.0271,0.1064,-0.0792
2024-11-22,2025-09-15,-0.0095,0.1082,-0.1177
2024-12-02,2025-09-22,0.003,0.1069,-0.1039
2024-12-09,2025-09-29,0.0207,0.1005,-0.0798
2024-12-16,2025-10-06,0.0494,0.1097,-0.0602
2024-12-23,2025-10-13,0.0829,0.1139,-0.031
2024-12-31,2025-10-20,0.1292,0.1451,-0.0159
2025-01-08,2025-10-27,0.1212,0.1617,-0.0405
2025-01-16,2025-11-03,0.114,0.154,-0.0401
2025-01-24,2025-11-10,0.0842,0.1198,-0.0356
2025-01-31,2025-11-17,0.0689,0.1046,-0.0357
2025-02-07,2025-11-24,0.088,0.1127,-0.0247
2025-02-14,2025-12-02,0.1414,0.1169,0.0245
2025-02-24,2025-12-09,0.1948,0.1433,0.0515
2025-03-03,2025-12-16,0.2327,0.1625,0.0702
2025-03-10,2025-12-23,0.3334,0.2307,0.1027
2025-03-17,2025-12-31,0.26,0.2062,0.0538
2025-03-24,2026-01-08,0.2734,0.2001,0.0733
2025-03-31,2026-01-15,0.3794,0.2375,0.1419
2025-04-07,2026-01-23,0.5522,0.3661,0.1861
2025-04-14,2026-01-30,0.4474,0.2836,0.1638
2025-04-22,2026-02-06,0.4455,0.311,0.1345
2025-04-29,2026-02-13,0.3647,0.2293,0.1353
2025-05-06,2026-02-23,0.3186,0.2195,0.099
2025-05-13,2026-03-02,0.2336,0.169,0.0646
2025-05-20,2026-03-09,0.2249,0.144,0.0808
2025-05-28,2026-03-16,0.2215,0.1377,0.0838
2025-06-04,2026-03-23,0.2105,0.1022,0.1083
2025-06-11,2026-03-30,0.1218,0.0534,0.0684
2025-06-18,2026-04-07,0.2033,0.1063,0.0969
2025-06-26,2026-04-14,0.2507,0.1346,0.1161
2025-07-03,2026-04-21,0.2646,0.125,0.1396
2025-07-11,2026-04-28,0.2774,0.1404,0.1369
2025-07-18,2026-05-05,0.3404,0.1528,0.1876
2025-07-25,2026-05-12,0.3626,0.1585,0.2042
2025-08-01,2026-05-19,0.4105,0.1788,0.2317
2025-08-08,2026-05-27,0.4253,0.177,0.2483
2025-08-15,2026-06-03,0.451,0.1711,0.2799
2025-08-22,2026-06-10,0.3866,0.1237,0.2629
